artist,year,lyrics,recognized,name,topic1,topic2,decade,id,song_hash
Elvis Presley,1960,"You can shake an apple off an apple tree

Shake-a, shake- sugar,

But you'll never shake me

Uh-uh-uh

No-sir-ee, uh, uh

I'm gonna stick like glue,

Stick because I'm

Stuck on you



Gonna run my fingers thru your long black hair

Squeeze you tighter than a grizzly bear

Uh-uh-uh,

Yes-sir-ee, uh, uh

I'm gonna stick like glue

Stick, because I'm

Stuck on you



Hide in the kitchen, hide in the hall

Ain't gonna do you no good at all

'Cause once I catch ya and the kissin' starts

A team o' wild horses couldn't tear us apart



Try to take a tiger from his daddy's side

That's how love is gonna keep us tied

Uh-uh-uh

Yes-sir-ee, uh,uh

I'm gonna stick like glue

Stick, because I'm

Stuck on you",0,Stuck on You,Desire (love/flirting),Love (devotion),1970,0,Stuck on YouElvis Presley
Joe Dowell,1961,"Can't you see I love you
Please don't break my heart in two
That's not hard to do
Cause I don't have a wooden heart
And if you say goodbye
Then I know that I would cry
Maybe I would die
Cause I don't have a wooden heart
There's no strings
Upon this love of mine
It was always you from the start
Treat me nice, treat me good
Treat me like you really should
Cause I'm not made of wood and
I don't have a wooden heart
Muss i denn, muss i denn
Zum Städtele 'naus
Städtele ?naus und
Du mein Schatz bleibst hier
Muss i denn, muss i denn
Zum Städtele 'naus
Städtele ?naus und
Du mein Schatz bleibst hier
There's no strings
Upon this love of mine
It was always you from the start
Sei mir gut, sei mir gut
Sei mir wie du wirklich sollst
Wie du wirklich sollst
Cause I don't have a wooden heart",0,Wooden Heart,Break-up (heartbreak),Struggle (mental health/societal issue),1960,1,Wooden HeartJoe Dowell
The Sensations,1962,"Let me in whee-ooh (whee-ooh, whee-ooh, hoop-whee-ooh)
(Whee-ooh, whee-ooh, hoo-ooh-oop-whee-ooh, whee-ooh)

I can see the dancin' (let me in)
The silhouettes on the shade
I hear the music (music), all the lovers on parade

Open up (let me in), I want to come in again

I thought you were my friend



Pitter patter of those fee-ee-ee-ee-eet

Movin' and a-groovin' with that be-eat

Jumpin' and stompin on the flo-o-o-o-oor

(Lemme in) Let me in!

(Open up) Open up!

Why don't you open up that door? (let me in)



I-uh (open up) hear music let me in (music)

I want to come in again

Let me in (let me in), a-well I heard it just then

I thought you were my friend



(Whee-ooh, whee-ooh, hoop-whee-ooh)

(Whee-ooh, whee-ooh, hoo-ooh-oop-whee-ooh, whee-ooh)



Pitter patter of the fee-ee-ee-ee-eet

Movin' and a-groovin' with that be-eat

Jumpin' and stompin on the flo-o-o-o-oor

(Lemme in) Let me in!

(Open up) Open up!

Why don't you open up that door? (let me in)



I-uh-I-uh-I (open up) hear music, let me in (music)

Oh I heard it just then

Let me in (let me in)

I want to come in again

I thought you were my friend



(Whee-ooh, whee-ooh, hoop-whee-ooh)

(Whee-ooh, whee-ooh, hoo-ooh-oop-whee-ooh)

(Hoo-ooh-oop-whee-ooh)

(Hoo-ooh-oop-whee-ooh)

FADE

(Hoo-ooh-oop-whee-ooh)",0,Let Me In,Desire (love/flirting),Dancing (clubbing/happy),2010,2,Let Me InThe Sensations
Bobby Darin,1963,"You're the reason I'm living
You're the breath that I take
You're the stars in my heaven
You're the sun when I wake
You're the reason I'm living
Oh you carry me through
All of life's little burdens
I'd be lost without you
A long long time ago
When I was down
Wo-o-o you picked me up
And showed me true love
Still could be found
You're the reason I do things
You're the things that I do
You're the reason I'm livin
I'd be lost without you
Come and tell me again
You're the reason I'm living
Oh you carry me through
All of life's little burdens
I'd be lost without you",0,You're the Reason I'm Living,Love (devotion),Break-up (heartbreak),2000,3,You're the Reason I'm LivingBobby Darin
Gale Garnett,1964,"We'll Sing In the Sunshine
-Artist: Gale Garnett from \""Remembering the '50's and '60's\""
-Reader's Digest RDA-030/A
-peak Billboard position # 4 in 1964
-also won Grammy for \""Best Folk Recording Of 1964\""
-Words and Music by Gale Garnett
We'll sing in the sunshine
We'll laugh every da-a-y
We'll sing in the sunshine
Then I'll be on my way
I will never love you
The cost of love's too dear
But though I'll never love you
I'll stay with you one year
And we can sing in the sunshine
We'll laugh every da-a-y
We'll sing in the sunshine
Then I'll be on my way
I'll sing to you each mornin'
I'll kiss you every night
But darlin', don't cling to me
I'll soon be out of sight
But we can sing in the sunshine
We'll laugh every da-a-y
We'll sing in the sunshine
Then I'll be on my way
My daddy he once told me
\""Hey, don't you love you any man\""
\""Just take what they may give you\""
\""And give but what you can\""
\""And you can sing in the sunshine\""
\""You'll laugh every da-a-y\""
\""You'll sing in the sunshine\""
\""Then be on your way\""
And when our year has ended
And I have gone away
You'll often speak about me
And this is what you'll say
\""We sang in the sunshine
\""You know, we laughed every da-a-y\""
\""We sang in the sunshine\""
\""Then she went away\""",0,We'll Sing in the Sunshine,Break-up (heartbreak),Struggle (mental health/societal issue),1960,4,We'll Sing in the SunshineGale Garnett
Herman's Hermits,1965,"(Carter/Lewis)

Every time I see you lookin' my way

Baby, baby, can't you hear my heartbeat?

In the car or walking down the highway

Baby, baby, can't you hear my heartbeat?



When you move up closer to me

I get a feelin' that's ooo-wee

Can't you hear the poundin' of my heartbeat

'cause you're the one I love, you're the one I love



When I feel you put your arms around me

Baby, baby, can't you hear my heartbeat?

Then I'm glad, I'm mighty glad I found you

Baby, baby, can't you hear my heartbeat?



When you asked me to meet your Ma

I knew that baby, we'd be going far

Can't you hear the poundin' of my heartbeat?

'cause you're the one I love, you're the one I love



[Rhythm guitar]



All my friends are cryin' out to meet you

Baby, baby, can't you hear my heartbeat?

Now's the time to go and see the preacher

Baby, baby, can't you hear my heartbeat?



Wedding bells are gonna chime

Baby, baby, you're gonna be mine

Can't you hear the poundin' of my heartbeat

'cause you're the one I love, you're the one I love



Baby, baby, can't you hear my heartbeat?

Baby, baby, can't you hear my heartbeat?

Baby, baby, can't you hear my heartbeat?",0,Can't You Hear My Heartbeat,Desire (love/flirting),Love (devotion),1980,5,Can't You Hear My HeartbeatHerman's Hermits
Bobby Hebb,1966,"Sunny, yesterday my life was filled with rain
Sunny, you smiled at me and really eased the pain
Now the dark days are done and the bright days are here
My Sunny one shines so sincere
Sunny, one so true, I love you


Sunny, thank you for the sunshine bouquet

Sunny, thank you for the love you've brought my way

You gave to me your all and all

And now I feel ten feet tall

Sunny, one so true, I love you



Sunny, thank you for the truth you've let me see

Sunny, thank you for the facts from A to Z

My life was torn like wind-blown sand

Then a rock was formed when we held hands

Sunny, one so true, I love you



Sunny, thank you for that smile upon your face

Sunny, thank you, thank you for that gleam that flows with grace

You're my spark of nature's fire

You're my sweet complete desire

Sunny, one so true, yes, I love you



Sunny, yesterday all my life was filled with rain

Sunny, you smiled at me and really, really eased the pain

Now the dark days are done and the bright days are here

My Sunny one shines so sincere

Sunny, one so true, I love you

I love you (Sunny)

I love you (Sunny)

Said I love you (Sunny)",0,Sunny,Dancing (clubbing/happy),Other,1970,6,SunnyBobby Hebb
Frankie Valli,1967,"You're just too good to be true

Can't take my eyes off of you

You'd be like heaven to touch

I wanna hold you so much

At long last love has arrived

And I thank God I'm alive

You're just too good to be true

Can't take my eyes off of you



Pardon the way that I stare

There's nothing else to compare

The sight of you leaves me weak

There are no words left to speak

But if you feel like I feel

Please let me know that it's real

You're just too good to be true

Can't take my eyes off of you



I love you baby and if it's quite all right

I need you baby to warm the lonely nights

I love you baby, trust in me when I say

Oh pretty baby, don't bring me down I pray

Oh pretty baby, now that I've found you stay

And let me love you baby, let me love you



You're just too good to be true

Can't take my eyes off of you

You'd be like heaven to touch

I wanna hold you so much

At long last love has arrived

And I thank God I'm alive

You're just too good to be true

Can't take my eyes off of you



I love you baby and if it's quite all right

I need you baby to warm the lonely nights

I love you baby, trust in me when I say

Oh pretty baby, don't bring me down I pray

Oh pretty baby, now that I've found you stay

Oh pretty baby, trust in me when I say",0,Can't Take My Eyes Off You,Desire (love/flirting),Love (devotion),1990,7,Can't Take My Eyes Off YouFrankie Valli
Jeannie C. Riley,1968,"I wanna tell you all a story 'bout a Harper Valley widowed wife,

Who had a teenage daughter who attended Harper Valley Junior High,

Well her daughter came home one afternoon and didn't even stop to play,

And she said.\""Mom I got a note here from the Harper Valley PTA.\""

Well the note said, \""Mrs. Johnson, you're wearing your dresses way too high.

It's reported you've been drinkin' and runnin' round with men and goin' wild.

And we don't believe you oughta be a bringin' up your little girl this way.\""

And it was signed by the secretary, \""Harper Valley PTA.\""



Well it happened that the PTA was gonna meet that very afternoon.

And they were sure surprised when Mrs. Johnson wore her mini-skirt into the room.

And as she walked up to the black board, I still recall the words she had to say.

She said I'd like to address this meeting of the Harper Valley PTA.



Well, there's Bobby Taylor sittin' there, and seven tims he's asked me for a date.

And Mrs. Taylor seems to use a lotta ice, whenever he's away.

And Mr. Baker can you tell us why your secretary had to leave this town?

And shouldn't widow Jones be told to keep her window shades a pulled completely down.



Well Mr. Harper couldn't be here cause he stayed too long at Kelly's Bar again.

And if you smell Shirley Thompson's breath you'll find she's had a little nip of gin.

And then you have the nerve to tell me, you think that as a mother I'm not fit.

Well this is just a little Peyton Place, and you're all Harper Valley hypocrites.



No, I wouldn't put you on because, it really did happen just this way.

The day my momma socked it to, the Harper Valley PTA.

The day my momma socked it to, the Harper Valley PTA",0,Harper Valley PTA,Struggle (mental health/societal issue),Other,2000,8,Harper Valley PTAJeannie C. Riley
Tommy James and the Shondells,1969,"Ah

Now I don't hardly know her

But I think I could love her

Crimson and clover

Ah

Well if she come walkin' over

Now I been waitin' to show her

Crimson and clover

Over and over



My mind's such a sweet thing

I wanna do everything

What a beautiful feeling

Crimson and clover

Over and over



Crimson and clover, over and over (repeat)",0,Crimson and Clover,Desire (love/flirting),Love (devotion),1990,9,Crimson and CloverTommy James and the Shondells
